native,name,p_value,intersection_size,query_size,term_size,intersections,evidences
GO:0001944,vasculature development,0.03963155419439608,14,134,758,"['CFLAR', 'ABCC8', 'ROCK1', 'NOTCH3', 'MYH9', 'FLT1', 'ENG', 'FN1', 'STK11', 'EPHB2', 'PRKCA', 'KIT', 'CXCL10', 'FOXC2']","[['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IDA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['ISS', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IMP', 'ISS', 'IEA']]"
GO:1905065,positive regulation of vascular associated smooth muscle cell differentiation,0.03963155419439608,2,134,5,"['ENG', 'KIT']","[['ISS', 'IEA'], ['IDA']]"
GO:0070372,regulation of ERK1 and ERK2 cascade,0.03963155419439608,8,134,276,"['CFLAR', 'FN1', 'EPHB2', 'SIRT3', 'PRKCA', 'P2RY6', 'MTURN', 'HLA-DRB1']","[['IEA'], ['IDA'], ['ISS', 'IEA'], ['IEA'], ['ISS'], ['IDA'], ['IMP'], ['IDA']]"
GO:0050714,positive regulation of protein secretion,0.03963155419439608,6,134,147,"['ABCC8', 'ANO1', 'SIRT3', 'PRKCA', 'IL13', 'HLA-DRB1']","[['IEA'], ['IMP', 'IGI'], ['IEA'], ['TAS'], ['IEA'], ['IMP']]"
GO:0021934,hindbrain tangential cell migration,0.03963155419439608,2,134,5,"['PLXNA2', 'EPHB2']","[['IEA'], ['IEA']]"
GO:0080090,regulation of primary metabolic process,0.044969261487970424,51,134,5215,"['TFPI', 'PPP1R12A', 'SPEN', 'ROCK1', 'NEDD4', 'KDM5A', 'NOTCH3', 'ZNF638', 'MYH9', 'TNRC6B', 'NDFIP2', 'FLT1', 'ENG', 'FRK', 'NKTR', 'CCDC88A', 'FN1', 'STK11', 'SLIRP', 'TSHZ3', 'CYREN', 'ZNF835', 'HOXD13', 'CCNT1', 'ZNF331', 'RIDA', 'RNF128', 'ZNF670-ZNF695', 'TGFBRAP1', 'NCBP1', 'HMG20A', 'MED9', 'SIRT3', 'MBIP', 'PRKCA', 'KIT', 'TENT5B', 'ZNF148', 'RNF180', 'RBPMS2', 'ZNF91', 'RNF187', 'IL13', 'CXCL10', 'GPR37', 'P2RY6', 'FOXC2', 'ZNF678', 'ZNF93', 'HLA-DRB1', 'ZNF772']","[['IEA'], ['IDA'], ['IDA', 'IBA'], ['IMP', 'ISS', 'TAS', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IBA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IDA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA'], ['IEA'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IEA'], ['IDA', 'IBA'], ['IDA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'ISS', 'IBA'], ['IC'], ['IEA'], ['IDA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['NAS', 'IEA'], ['ISS'], ['IDA', 'IMP', 'ISS'], ['TAS', 'IEA'], ['IMP'], ['IMP', 'IBA'], ['EXP', 'IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IEA'], ['IBA', 'IEA'], ['IMP'], ['IGI'], ['TAS'], ['IEA'], ['IDA', 'TAS'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA'], ['IBA', 'IEA']]"
GO:0071363,cellular response to growth factor stimulus,0.04828102527983878,13,134,706,"['CFLAR', 'NEDD4', 'FLT1', 'BLOC1S6', 'ENG', 'SHOC2', 'STK11', 'ACVR1C', 'EPHB2', 'TGFBRAP1', 'KIT', 'RBPMS2', 'LRIT3']","[['IEA'], ['ISS'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'TAS'], ['NAS', 'IEA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['ISS'], ['IDA']]"
GO:0048010,vascular endothelial growth factor receptor signaling pathway,0.04828102527983878,5,134,105,"['NEDD4', 'FLT1', 'EPHB2', 'KIT', 'FOXC2']","[['ISS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:0042060,wound healing,0.04828102527983878,10,134,439,"['CFLAR', 'TFPI', 'MYH9', 'BLOC1S6', 'ENG', 'VWF', 'FN1', 'EPHB2', 'PRKCA', 'FOXC2']","[['ISS'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'HMP'], ['IEA'], ['IMP'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IMP'], ['IDA'], ['ISS', 'IEA']]"
GO:0035295,tube development,0.04828102527983878,17,134,1094,"['ABCC8', 'ROCK1', 'NOTCH3', 'PLXNA2', 'MYH9', 'FLT1', 'BLOC1S6', 'ENG', 'FN1', 'HOXD13', 'EPHB2', 'PRKCA', 'KIT', 'RBPMS2', 'IL13', 'CXCL10', 'FOXC2']","[['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IDA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['ISS'], ['NAS'], ['IDA', 'IEA'], ['ISS', 'IEA']]"
GO:0007167,enzyme-linked receptor protein signaling pathway,0.04828102527983878,16,134,988,"['NEDD4', 'FLT1', 'ENG', 'SHOC2', 'TNS2', 'FRK', 'CCDC88A', 'STK11', 'ACVR1C', 'IRS4', 'EPHB2', 'TGFBRAP1', 'KIT', 'RBPMS2', 'FOXC2', 'LRIT3']","[['ISS'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'TAS'], ['NAS'], ['IDA', 'IBA'], ['IBA'], ['IDA'], ['IMP', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['ISS'], ['IDA', 'IEA'], ['IDA']]"
GO:0009893,positive regulation of metabolic process,0.04828102527983878,37,134,3410,"['ABCC8', 'RB1CC1', 'PPP1R12A', 'ROCK1', 'NEDD4', 'KDM5A', 'NOTCH3', 'MYH9', 'TNRC6B', 'NDFIP2', 'FLT1', 'ENG', 'CCDC88A', 'FN1', 'STK11', 'CYREN', 'HOXD13', 'CCNT1', 'JCHAIN', 'RIDA', 'RNF128', 'EPHB2', 'NCBP1', 'MED9', 'SIRT3', 'MBIP', 'KIT', 'TENT5B', 'ZNF148', 'RNF180', 'RNF187', 'IL13', 'CXCL10', 'GPR37', 'P2RY6', 'FOXC2', 'HLA-DRB1']","[['IEA'], ['ISO', 'IEA'], ['IDA'], ['IMP', 'IGI', 'ISS', 'IEA'], ['IDA'], ['IDA'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['IMP', 'IBA'], ['IMP', 'IBA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IMP'], ['IEA'], ['IMP', 'IEA'], ['IDA', 'IBA'], ['IDA'], ['IDA'], ['IC'], ['IMP', 'ISS'], ['IMP', 'NAS'], ['NAS'], ['IMP', 'ISS'], ['IDA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP', 'IBA'], ['IEA'], ['IBA', 'IEA'], ['IMP'], ['IGI', 'ISS', 'IBA', 'IEA'], ['TAS'], ['IEA'], ['IDA', 'TAS'], ['IDA', 'ISS', 'IEA'], ['IDA']]"
