"GO.ID","Term","Annotated","Significant","Expected","pvalue"
"GO:1903998","regulation of eating behavior",16,5,1.8,0.02714
"GO:0010906","regulation of glucose metabolic process",80,10,9.01,0.02726
"GO:1903351","cellular response to dopamine",51,14,5.74,0.02731
"GO:0031113","regulation of microtubule polymerization",62,12,6.98,0.02746
"GO:0001963","synaptic transmission, dopaminergic",21,6,2.36,0.02753
"GO:0032222","regulation of synaptic transmission, cholinergic",11,4,1.24,0.02757
"GO:0003156","regulation of animal organ formation",11,4,1.24,0.02757
"GO:0046710","GDP metabolic process",11,4,1.24,0.02757
"GO:0009642","response to light intensity",11,4,1.24,0.02757
"GO:2000822","regulation of behavioral fear response",11,4,1.24,0.02757
"GO:0008652","amino acid biosynthetic process",67,10,7.54,0.02759
"GO:0016197","endosomal transport",308,63,34.67,0.02921
"GO:0048488","synaptic vesicle endocytosis",72,22,8.11,0.03002
"GO:0031647","regulation of protein stability",354,40,39.85,0.03012
"GO:0030335","positive regulation of cell migration",529,70,59.55,0.0303
"GO:0016601","Rac protein signal transduction",57,13,6.42,0.03058
"GO:0090090","negative regulation of canonical Wnt signaling pathway",129,22,14.52,0.03067
"GO:0051560","mitochondrial calcium ion homeostasis",22,6,2.48,0.0308
"GO:0008344","adult locomotory behavior",22,6,2.48,0.0308
"GO:2000810","regulation of bicellular tight junction assembly",22,6,2.48,0.0308
"GO:0042398","modified amino acid biosynthetic process",44,8,4.95,0.03084
"GO:0051963","regulation of synapse assembly",166,33,18.69,0.03096
"GO:0045879","negative regulation of smoothened signaling pathway",28,7,3.15,0.03203
"GO:0021987","cerebral cortex development",89,21,10.02,0.03259
"GO:0048583","regulation of response to stimulus",3786,463,426.21,0.03354
"GO:2000300","regulation of synaptic vesicle exocytosis",47,10,5.29,0.03381
"GO:0040011","locomotion",1137,149,128,0.03419
"GO:0045732","positive regulation of protein catabolic process",213,32,23.98,0.03471
"GO:0098900","regulation of action potential",65,13,7.32,0.03479
"GO:1902476","chloride transmembrane transport",109,19,12.27,0.0348
"GO:0008088","axo-dendritic transport",82,19,9.23,0.03486
"GO:0030865","cortical cytoskeleton organization",53,10,5.97,0.03491
"GO:0007413","axonal fasciculation",17,5,1.91,0.03498
"GO:0015816","glycine transport",17,5,1.91,0.03498
"GO:0022010","central nervous system myelination",17,5,1.91,0.03498
"GO:0097401","synaptic vesicle lumen acidification",17,5,1.91,0.03498
"GO:0010288","response to lead ion",17,5,1.91,0.03498
"GO:0032026","response to magnesium ion",17,5,1.91,0.03498
"GO:0050862","positive regulation of T cell receptor signaling pathway",17,5,1.91,0.03498
"GO:0021602","cranial nerve morphogenesis",17,5,1.91,0.03498
"GO:0061615","glycolytic process through fructose-6-phosphate",23,9,2.59,0.03498
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",39,10,4.39,0.03501
"GO:1903844","regulation of cellular response to transforming growth factor beta stimulus",132,20,14.86,0.03503
"GO:0009582","detection of abiotic stimulus",116,18,13.06,0.03503
"GO:2000279","negative regulation of DNA biosynthetic process",30,7,3.38,0.03511
"GO:0070232","regulation of T cell apoptotic process",24,5,2.7,0.03513
"GO:1901700","response to oxygen-containing compound",1470,198,165.48,0.03515
"GO:0035456","response to interferon-beta",32,6,3.6,0.03517
"GO:1990089","response to nerve growth factor",50,5,5.63,0.03523
"GO:0007405","neuroblast proliferation",37,5,4.17,0.03524
"GO:0043207","response to external biotic stimulus",1396,149,157.15,0.03553
"GO:0030336","negative regulation of cell migration",289,40,32.53,0.03575
"GO:0007611","learning or memory",178,32,20.04,0.03655
"GO:0034063","stress granule assembly",35,8,3.94,0.03736
"GO:0006826","iron ion transport",50,10,5.63,0.03764
"GO:0048534","hematopoietic or lymphoid organ development",37,7,4.17,0.03774
"GO:0048681","negative regulation of axon regeneration",12,4,1.35,0.03776
"GO:0006182","cGMP biosynthetic process",12,4,1.35,0.03776
