GO_ID	Term	Ontology	clusterProfiler_BH_FDR	clusterProfiler_raw_pvalue	clusterProfiler_FoldEnrichment	clusterProfiler_DE_gene_count	topGO_raw_pvalue	topGO_Annotated	topGO_DE_gene_count	topGO_Expected_DE_genes	gProfiler_Up_FDR	gProfiler_Up_intersection_size	gProfiler_Down_FDR	gProfiler_Down_intersection_size	Methods significantly enriched	Methods included	Significant method(s)	clusterProfiler_included	topGO_included	gProfiler_included	clusterProfiler_significant	topGO_significant	gProfiler_significant
GO:0016082	synaptic vesicle priming	GO:BP	0.0092576631231161	8.51878860155293e-05	3.61135567686017	11.0	0.00014	27.0	11.0	3.04					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:1904862	inhibitory synapse assembly	GO:BP	0.0167572184394754	0.0001825199379323	3.36229666466291	11.0	0.00018	29.0	11.0	3.26					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0043649	dicarboxylic acid catabolic process	GO:BP	0.0207467846057492	0.0002454549164623	4.17140548771014	8.0	0.00024	17.0	8.0	1.91					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0006536	glutamate metabolic process	GO:BP	0.0290726966387595	0.000365797309821	3.62627863420256	9.0	0.00036	22.0	9.0	2.48					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0032228	regulation of synaptic transmission, GABAergic	GO:BP	0.0139868305017663	0.0001497181856527	3.22335878595783	12.0	0.00053	34.0	12.0	3.83					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0008038	neuron recognition	GO:BP	0.0005567385588404	1.15007026239338e-06	3.58790531532211	17.0	0.00454	42.0	17.0	4.73					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:1904262	negative regulation of TORC1 signaling	GO:BP	0.0192651741530361	0.0002170723848229	2.71354183511757	15.0	0.00059	48.0	14.0	5.4					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0070593	dendrite self-avoidance	GO:BP	0.0444099593275109	0.0006505120802903	4.13664377531256	7.0	0.00064	15.0	7.0	1.69					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0007411	axon guidance	GO:BP	0.0089558397375449	8.07286962257577e-05	1.86867691780529	39.0	0.00078	185.0	39.0	20.83					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0072659	protein localization to plasma membrane	GO:BP	0.0023139336800684	9.12537225942505e-06	1.80567783843008	55.0	0.00323	271.0	55.0	30.51					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	GO:BP	0.0450313830327382	0.0006680712224575	2.79923262991075	12.0	0.0099	38.0	12.0	4.28					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0099536	synaptic signaling	GO:BP					0.04276	743.0	171.0	83.64			8.315741916907993e-38	156.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0099537	trans-synaptic signaling	GO:BP					1.0	709.0	162.0	79.82			3.306753082741202e-36	150.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0098916	anterograde trans-synaptic signaling	GO:BP					1.0	699.0	161.0	78.69			4.540259173027279e-36	149.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0006810	transport	GO:BP					1.0	4150.0	577.0	467.18			3.830521839100237e-31	440.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051179	localization	GO:BP					1.0	5017.0	689.0	564.79			2.0863827891958486e-29	513.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0007267	cell-cell signaling	GO:BP					0.61123	1172.0	221.0	131.94			9.732473760348643e-28	189.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051234	establishment of localization	GO:BP					1.0	4353.0	602.0	490.04			2.698970023620948e-27	459.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0007399	nervous system development	GO:BP					0.02519	2178.0	346.0	245.19			2.340666999309216e-25	291.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051649	establishment of localization in cell	GO:BP					0.2797	1776.0	275.0	199.93			4.627908660352107e-20	224.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0023052	signaling	GO:BP					1.0	5972.0	793.0	672.29	2.6305565923009105e-06	271.0	9.130733096995092e-20	550.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0007154	cell communication	GO:BP					0.15385	5999.0	794.0	675.33	5.077590906213309e-06	271.0	1.2883892056596112e-19	552.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0008104	intracellular protein localization	GO:BP					0.13579	2258.0	333.0	254.19			1.7326940007562085e-19	259.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051641	cellular localization	GO:BP					1.0	2191.0	337.0	246.65			3.6438791302631366e-18	269.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0065007	biological regulation	GO:BP					1.0	11489.0	1368.0	1293.37	8.767586669248082e-09	472.0	4.1079480949253645e-18	914.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0050789	regulation of biological process	GO:BP					0.18903	11091.0	1324.0	1248.56	3.720020978648592e-07	454.0	1.9882200754235338e-17	889.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048666	neuron development	GO:BP					0.98734	945.0	168.0	106.38			2.873401297880423e-17	152.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0033036	macromolecule localization	GO:BP					1.0	2736.0	383.0	308.0			4.542344506690445e-16	284.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0065008	regulation of biological quality	GO:BP					0.83656	2765.0	389.0	311.27			1.1530665231175137e-15	289.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0016192	vesicle-mediated transport	GO:BP					0.16476	1557.0	236.0	175.28			1.2182398942847634e-15	182.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0031175	neuron projection development	GO:BP					0.01138	840.0	155.0	94.56			1.4766284733292377e-15	134.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048699	generation of neurons	GO:BP					1.0	1215.0	203.0	136.78			2.750097870494005e-15	177.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0030182	neuron differentiation	GO:BP					0.18336	1162.0	197.0	130.81			4.1471430356203516e-15	170.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0032879	regulation of localization	GO:BP					1.0	1801.0	268.0	202.75			7.833223046702585e-15	207.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048812	neuron projection morphogenesis	GO:BP					0.25271	531.0	107.0	59.78			1.941434598988921e-14	98.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0023051	regulation of signaling	GO:BP					1.0	3317.0	460.0	373.41			2.3052037467296994e-14	321.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0022008	neurogenesis	GO:BP					0.98976	1425.0	226.0	160.42			2.5754426022437592e-14	194.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0120039	plasma membrane bounded cell projection morphogenesis	GO:BP					1.0	545.0	109.0	61.35			3.5126970631961186e-14	99.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048731	system development	GO:BP					0.4341	3310.0	440.0	372.62			5.5446061522518576e-14	358.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048858	cell projection morphogenesis	GO:BP					0.50187	551.0	110.0	62.03			5.895010849378744e-14	99.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0046907	intracellular transport	GO:BP					0.42267	1319.0	203.0	148.49			6.444610470274414e-14	161.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0010646	regulation of cell communication	GO:BP					0.59397	3326.0	456.0	374.42			1.889022333102313e-13	318.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0007275	multicellular organism development	GO:BP					0.12899	3829.0	500.0	431.05			6.564462953802537e-13	399.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051049	regulation of transport	GO:BP					1.0	1451.0	215.0	163.35			2.2315573086804227e-12	172.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0006811	monoatomic ion transport	GO:BP					0.42176	1176.0	177.0	132.39			2.5891651844662214e-12	147.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0034220	monoatomic ion transmembrane transport	GO:BP					0.59226	989.0	149.0	111.34			3.1201567558333997e-12	127.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0055085	transmembrane transport	GO:BP					0.40553	1492.0	203.0	167.96			1.0958029040321248e-11	169.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0050794	regulation of cellular process	GO:BP					1.0	10670.0	1254.0	1201.17	2.3633913128544296e-06	438.0	4.131900921640103e-11	837.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0140352	export from cell	GO:BP					1.0	831.0	133.0	93.55			6.463318808544236e-11	114.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0032501	multicellular organismal process	GO:BP					1.0	6246.0	766.0	703.14	1.1482601404037712e-06	298.0	8.717979541285372e-11	560.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0120036	plasma membrane bounded cell projection organization	GO:BP					1.0	1390.0	228.0	156.48			1.065427586365436e-10	168.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0009056	catabolic process	GO:BP					1.0	2680.0	358.0	301.7			1.3523335793205866e-10	247.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0032940	secretion by cell	GO:BP					1.0	750.0	123.0	84.43			1.7815314176468582e-10	106.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0098655	monoatomic cation transmembrane transport	GO:BP					0.90222	833.0	128.0	93.77			1.9307792561284432e-10	108.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0030001	metal ion transport	GO:BP					0.29519	819.0	133.0	92.2			2.085334667898724e-10	108.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0006812	monoatomic cation transport	GO:BP					1.0	1000.0	153.0	112.57			2.767979224572372e-10	124.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051128	regulation of cellular component organization	GO:BP					1.0	2388.0	330.0	268.83			3.2209228922185676e-10	230.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0030030	cell projection organization	GO:BP					0.95425	1436.0	232.0	161.66			3.2497496968885656e-10	170.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0045184	establishment of protein localization	GO:BP					0.14698	1532.0	227.0	172.46			4.479600920488669e-10	188.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048856	anatomical structure development	GO:BP					1.0	4978.0	605.0	560.4			1.3510052319844443e-09	466.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0034330	cell junction organization	GO:BP					1.0	796.0	134.0	89.61			1.5985668842842734e-09	103.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0046903	secretion	GO:BP					0.44285	850.0	131.0	95.69			8.631204735224191e-09	113.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0050896	response to stimulus	GO:BP					1.0	8007.0	941.0	901.38	1.8575246699015268e-08	360.0	1.812736569367446e-05	634.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0032502	developmental process	GO:BP					1.0	5542.0	651.0	623.89			2.145225703637385e-08	497.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0000902	cell morphogenesis	GO:BP					0.99529	756.0	128.0	85.11			2.280235008603744e-08	114.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0007165	signal transduction	GO:BP					0.0539	5514.0	692.0	620.74	1.2934308199886171e-06	256.0	1.1538848563825335e-07	463.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051716	cellular response to stimulus	GO:BP					1.0	6834.0	823.0	769.33	6.334970426894181e-07	302.0	1.4253690519771125e-07	548.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048518	positive regulation of biological process	GO:BP					0.29241	5836.0	698.0	656.98			1.4348802128814398e-07	468.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0006793	phosphorus metabolic process	GO:BP					1.0	1764.0	246.0	198.58			2.392648879095925e-07	202.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0006796	phosphate-containing compound metabolic process	GO:BP					0.49482	1763.0	246.0	198.47			3.6841482444538266e-07	201.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048522	positive regulation of cellular process	GO:BP					0.50086	5417.0	647.0	609.82			4.445687390242089e-07	439.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0061024	membrane organization	GO:BP					0.02483	761.0	117.0	85.67			6.061105003556657e-07	92.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:1990138	neuron projection extension	GO:BP					0.0432	133.0	28.0	14.97			7.37544732088106e-07	34.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0006914	autophagy	GO:BP					0.08006	575.0	89.0	64.73			7.378377544141712e-07	76.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0061919	process utilizing autophagic mechanism	GO:BP					1.0	575.0	89.0	64.73			7.378377544141712e-07	76.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0030163	protein catabolic process	GO:BP					0.81001	1052.0	151.0	118.43			7.983071939256568e-07	114.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0050890	cognition	GO:BP					0.70617	220.0	36.0	24.77			1.4680210763069863e-06	49.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0007611	learning or memory	GO:BP					0.03655	178.0	32.0	20.04			1.9768651062172723e-06	44.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0019637	organophosphate metabolic process	GO:BP					0.50318	1045.0	158.0	117.64			2.655640304655261e-06	113.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0036211	protein modification process	GO:BP					0.70704	1832.0	244.0	206.24			4.403859820964616e-06	208.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0048468	cell development	GO:BP					0.57372	2248.0	287.0	253.07			6.096410760463453e-06	241.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051046	regulation of secretion	GO:BP					0.80689	555.0	91.0	62.48			8.126791020697713e-06	74.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0009966	regulation of signal transduction	GO:BP					0.43025	2894.0	371.0	325.79	3.940750667796568e-05	144.0	9.632068217592996e-06	253.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:1903530	regulation of secretion by cell	GO:BP					1.0	512.0	87.0	57.64			1.2571918471668513e-05	69.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0044087	regulation of cellular component biogenesis	GO:BP					0.96158	995.0	154.0	112.01			1.258760088920842e-05	106.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0019538	protein metabolic process	GO:BP					0.88164	3963.0	456.0	446.13			1.428574326113931e-05	348.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0098657	import into cell	GO:BP					1.0	948.0	137.0	106.72			1.449540734314636e-05	102.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0032880	regulation of protein localization	GO:BP					0.15556	822.0	126.0	92.54			1.5407178829813076e-05	94.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0019725	cellular homeostasis	GO:BP					1.0	671.0	105.0	75.54			1.705752298952612e-05	84.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051130	positive regulation of cellular component organization	GO:BP					0.95214	1031.0	151.0	116.06			1.940671462857004e-05	112.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0051668	localization within membrane	GO:BP					0.14813	706.0	126.0	79.48			3.029186802168625e-05	98.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0006886	intracellular protein transport	GO:BP					0.01776	614.0	88.0	69.12			3.54018927866774e-05	76.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
GO:0016236	macroautophagy	GO:BP					0.32449	365.0	61.0	41.09			4.131613317100161e-05	52.0	1	2	gProfiler2 (Up/Down)	False	True	True	False	False	True
