ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008038	neuron recognition	17/1893	42/16780	0.404761904761905	3.58790531532211	5.98792008843242	1.15007026239338e-06	0.000556738558840434	0.000556738558840434	EMB/YWHAZ/CRTAC1/CDK5R1/EFNA5/EPHA5/BSG/AMIGO1/APP/ROBO2/CNTN6/OPCML/PALLD/TNN/ROBO3/NPTN/NTM	17
GO:0016197	endosomal transport	63/1893	307/16780	0.205211726384365	1.8190453083622	5.16470494006562	1.62058929247707e-06	0.0007191364985367	0.0007191364985367	SNX17/DCLK1/MSN/RAB6D/CLTC/REPS2/ALDH7A1/INPP5F/LEPROT/LAPTM4B/EVI5/EMP2/AP5M1/RAB13/MAP2K1/VTA1/NSG2/MTMR2/RAB6B/ATP9A/BLOC1S6/DAB2/EPS15L1/UBE2O/NDRG4/MAPK1/GOSR1/PREPL/RAB11A/RAB6A/DYNC1LI1/SNX2/EHD2/GGA3/BLTP3B/BECN1/TRAPPC10/EPS15/RAB14/MAGEL2/EHD3/CLN5/ARL1/USP7/ALS2/SNX30/SNX33/LMTK2/WDR91/RAB35/VPS35/STAM/RGP1/HOOK2/VPS50/ANKRD50/RHOBTB3/ITSN1/CHMP7/VAMP4/MYO5B/ZFYVE9/PRKN	63
GO:0071805	potassium ion transmembrane transport	45/1893	199/16780	0.226130653266332	2.00447562694614	5.08294407800469	3.52679228972476e-06	0.00144462838021418	0.00144462838021418	KCNK1/STK39/KCNS2/LRRC55/CAB39/KCNA3/KCNC1/FXYD2/NALCN/RGS4/AMIGO1/HCN1/ATP1A3/KCNK6/PKD2L1/KCNH7/KCND2/ABCC9/ATP1A1/SLC17A7/SNAP25/SLC24A2/KCNC2/KCNB2/KCNK2/KCNG3/NPPA/KCNF1/KCNE4/KCNS3/KCNV1/KCNAB1/SLC9A6/DPP10/KCNA4/KCNA2/OPRK1/SLC9A4/KCNN3/ATP1B1/KCNQ3/KCNJ3/SLC17A6/AKAP6/SLC9A7	45
GO:0007269	neurotransmitter secretion	35/1893	141/16780	0.24822695035461	2.20034243367689	5.1039434573507	4.77275377908437e-06	0.00169432759157495	0.00169432759157495	NAPB/STX1B/VPS18/CRH/SYT13/GPR158/BLOC1S6/UNC13A/DNAJC5/PTPRN2/OTOF/PREPL/SYT4/SYN2/STXBP1/EFR3A/RPH3A/LIN7A/SYT11/SYT7/SNAP25/CALM3/RAP1B/CAMK2A/SNCA/CADPS/FBXO45/SV2B/SV2A/NPY/RIMS3/SLC32A1/PNOC/SYNJ1/PRKN	35
GO:0099643	signal release from synapse	35/1893	141/16780	0.24822695035461	2.20034243367689	5.1039434573507	4.77275377908437e-06	0.00169432759157495	0.00169432759157495	NAPB/STX1B/VPS18/CRH/SYT13/GPR158/BLOC1S6/UNC13A/DNAJC5/PTPRN2/OTOF/PREPL/SYT4/SYN2/STXBP1/EFR3A/RPH3A/LIN7A/SYT11/SYT7/SNAP25/CALM3/RAP1B/CAMK2A/SNCA/CADPS/FBXO45/SV2B/SV2A/NPY/RIMS3/SLC32A1/PNOC/SYNJ1/PRKN	35
GO:0042391	regulation of membrane potential	76/1893	407/16780	0.186732186732187	1.65523829549186	4.77185342778214	6.1740575728129e-06	0.00195203415408001	0.00195203415408001	KCNK1/KCNS2/STX1B/KCNA3/MLLT11/YWHAH/FGF13/STOX1/GABRA4/GABRD/CRH/RGS7/TRPM4/KCNC1/MTMR2/RGS7BP/GPD1L/TAC1/GLRB/TRPC5/GABRA3/NALCN/SLC25A27/RGS4/APP/HCN1/ATP1A3/SNTA1/ELOVL4/KCNH7/KCND2/ATP1A1/CNTNAP1/GOT1/EHD3/GRM5/SLC17A7/RACK1/GABRA1/DMD/GLRA2/TMEM25/GSK3B/KCNC2/CHRNB2/CALM3/KMT2A/TACR1/KCNB2/KCNK2/KCNG3/GABRG2/SLC8A2/NPPA/KCNF1/GABRA5/KCNE4/KCNS3/KCNV1/CACNA2D1/GRIN2C/KCNA4/KCNA2/CAMK2D/MPP2/KISS1R/P2RX5/ATP1B1/RIMS3/SLC29A1/KCNJ3/AKAP9/PNOC/AKAP6/PRKN/SCN8A	76
GO:0140238	presynaptic endocytosis	23/1893	76/16780	0.302631578947368	2.6825979369978	5.24241813623813	6.23184612570143e-06	0.00195203415408001	0.00195203415408001	DNAJC6/ROCK1/EPS15L1/SH3GL2/OPHN1/NECAP1/DNM3/AP2M1/SYT11/SYT7/AP3M2/SLC17A7/RAC1/MX2/AP2A2/CALM3/RAB27B/PPP3CB/SNCA/AMPH/ITSN1/SYNJ1/PRKN	23
GO:0007610	behavior	73/1893	388/16780	0.188144329896907	1.6677558667037	4.74539482391012	7.12220202985793e-06	0.0021069847671663	0.0021069847671663	CLSTN2/INPP5F/FGF13/ARMCX5-GPRASP2/AHI1/CRH/ANKH/PAFAH1B1/TIFAB/GRM6/CRHBP/CCL3/TAC1/BLOC1S6/GRPR/GPRASP3/FEN1/GPR52/NDRG4/MAPK1/NETO1/APP/HCN1/NPW/SYT4/HTR2C/CNTN1/KCND2/SYT11/NMU/GRM5/PLK2/PTN/MKKS/PENK/CHRNB2/PPARA/TACR1/HCRTR1/MRAP2/OPN3/KCNK2/SLC8A2/HCRTR2/PPP3CB/VPS35/CFAP69/MCHR1/SNCA/OTOP1/HTR1B/HPGDS/EDDM3A/SEZ6L2/CPT1A/NPY5R/TP53/NCOA2/CPEB3/KCNA2/OPRK1/RASGRF1/EGFR/GPR176/NPY/STAT3/SEZ6L/GRP/ZFHX3/VLDLR/PNOC/SYNJ1/PRKN	73
GO:0048488	synaptic vesicle endocytosis	22/1893	72/16780	0.305555555555556	2.70851675764513	5.18057550282657	8.293313588251e-06	0.00230914536780381	0.00230914536780381	DNAJC6/ROCK1/EPS15L1/SH3GL2/OPHN1/DNM3/AP2M1/SYT11/SYT7/AP3M2/SLC17A7/RAC1/MX2/AP2A2/CALM3/RAB27B/PPP3CB/SNCA/AMPH/ITSN1/SYNJ1/PRKN	22
GO:1903421	regulation of synaptic vesicle recycling	12/1893	26/16780	0.461538461538462	4.09118615140802	5.62480313966799	8.67284645184529e-06	0.00230914536780381	0.00230914536780381	STX1B/ROCK1/OPHN1/AP2M1/SYT11/SYT7/SLC17A7/RAC1/CALM3/PPP3CB/SNCA/PRKN	12
