Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000163155	LYSMD1	-0.11151901978145173	-4.429804343388121	4.068882040337459e-05	0.012866097039430032	Down
ENSG00000152284	TCF7L1	0.16607006027716942	4.423255265843051	4.0742999157917804e-05	0.012866097039430032	Up
ENSG00000163449	TMEM169	-0.13005555390950918	-4.4002126797201475	4.1298627425547616e-05	0.012866097039430032	Down
ENSG00000123684	LPGAT1	-0.2711602067404497	-4.40219627811079	4.144554354072635e-05	0.012866097039430032	Down
ENSG00000006128	TAC1	-0.20288592162260422	-4.395366796079741	4.183093000369046e-05	0.012866097039430032	Down
ENSG00000178175	ZNF366	0.21823241322149278	4.399075560724349	4.2146459507311175e-05	0.012866097039430032	Up
ENSG00000178796	RIIAD1	-0.13743926601012224	-4.392621044387048	4.241683508126575e-05	0.012866097039430032	Down
ENSG00000115998	C2orf42	-0.08880073425464374	-4.394942465962053	4.249625326465894e-05	0.012866097039430032	Not significant
ENSG00000188394	GPR21	-0.16287083083650034	-4.3943387250292325	4.257883348021051e-05	0.012866097039430032	Down
ENSG00000286084		-0.09150592013519954	-4.3897569069055695	4.315120454652093e-05	0.012866097039430032	Not significant
ENSG00000144339	TMEFF2	-0.24363532217906547	-4.3922018251573	4.322938971827829e-05	0.012866097039430032	Down
ENSG00000204531	POU5F1	0.10218559934967852	4.399526357877875	4.334591698688667e-05	0.012866097039430032	Up
ENSG00000151948	GLT1D1	-0.2432282248404869	-4.392434065191103	4.3497319326591164e-05	0.012866097039430032	Down
ENSG00000082458	DLG3	-0.3023814927375996	-4.385709804116254	4.431655583194459e-05	0.012866097039430032	Down
ENSG00000117597	UTP25	-0.12124723377669344	-4.379241252499819	4.4364259878212284e-05	0.012866097039430032	Down
ENSG00000013561	RNF14	-0.2199004686913688	-4.393585549784137	4.4938765118005996e-05	0.012866097039430032	Down
ENSG00000204603	LINC01257	-0.20681278711703177	-4.499498513394414	4.5004734299363533e-05	0.012866097039430032	Down
ENSG00000132341	RAN	-0.1995505589024411	-4.383181235481966	4.515064010984006e-05	0.012866097039430032	Down
ENSG00000136436	CALCOCO2	0.24583631243855697	4.369758438284784	4.5783233972383153e-05	0.012941147989774433	Up
ENSG00000171132	PRKCE	-0.32662406397570765	-4.368258652697318	4.6483426347654184e-05	0.012973322671228187	Down
ENSG00000261167		-0.17948255056587148	-4.3879073460621685	4.7186407180463065e-05	0.012973322671228187	Down
ENSG00000142230	SAE1	-0.1537635859799349	-4.386322083152934	4.764064825488655e-05	0.012973322671228187	Down
ENSG00000280000		0.12658123192961668	4.373484605619664	4.772033944410653e-05	0.012973322671228187	Up
ENSG00000229847	EMX2OS	0.4080764682724358	4.38095223237743	4.774774963162443e-05	0.012973322671228187	Up
ENSG00000280048		0.10919670125629599	4.366348336587654	4.897196130634512e-05	0.013136877288543318	Up
